TV,#genre#
本港台,http://gxdl-lhs.8866.org:85/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
本港台,http://113.117.74.28:8081/hls/135/index.m3u8
本港台,http://171.110.42.48:8181/tsfile/live/1068_1.m3u8
汕头台,http://113.117.74.28:8081/hls/24/index.m3u8

三立新闻,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/setlive.m3u8
三立新闻,http://2023.stream-link.org/playlist/set_news.flv
三立新闻+,http://2023.stream-link.org/playlist/set_news+.flv
三立inews新闻,http://seb.sason.top/sc/slinews_fhd.m3u8
三立inews新闻,https://raw.githubusercontent.com/StanleyChen0924/Myself/YTlive/SETiLiveNews.m3u8

星空卫视,http://159.75.85.63:8765/telegram@feiyangdigital-xingkong.m3u8
星空卫视,http://210.210.155.37/x6bnqe/s/s94/index2.m3u8
